# upstream	https://github.com/erha19/ping-island.git
# commit	da130d679e830894240e926184d29751dfd2def1
path	disposition	license	ownership_and_action
.github/workflows/pr-checks.yml	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
.github/workflows/release-packages.yml	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
.gitignore	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
AGENTS.md	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
Config/App.xcconfig	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
Config/AppStore.xcconfig	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
Config/LocalSecrets.example.xcconfig	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
LICENSE.md	reuse	legal-attribution	retain in third-party notices; upstream name is legal attribution only
NOTICE	reuse	legal-attribution	retain in third-party notices; upstream name is legal attribution only
PingIsland.xcodeproj/project.pbxproj	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland.xcodeproj/project.xcworkspace/contents.xcworkspacedata	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland.xcodeproj/project.xcworkspace/xcshareddata/swiftpm/Package.resolved	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland.xcodeproj/xcshareddata/xcschemes/PingIsland.xcscheme	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland.xcodeproj/xcshareddata/xcschemes/PingIslandAppStore.xcscheme	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/App/AppDelegate.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/App/AppLaunchConfiguration.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/App/IslandPresentationCoordinator.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/App/PingIslandApp.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/App/ScreenObserver.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
